"CodeID","Country","Country_code","Title","Text"
"01_AL","Albania","AL","Code of Ethics for Journalists"," # Code of Ethics for Journalists

## Introduction

The Code of Ethics is a self-regulating instrument which aims to guide, strengthen and improve the quality of journalism and the sense of responsibility of journalists in Albania.

The principles of this Code are in line with the universal ethical values of journalism, which are widely recognized and accepted by media organizations and journalism unions in democratic countries. They are a cornerstone of democratic pluralism and also respect the spirit of the Constitution of the Republic of Albania, the Universal Declaration of Human Rights and the European Convention on Human Rights.

## The Role of Media in Society

Freedom of speech, freedom of information and criticism, freedom of the press, and access to official documents are basic elements of a democratic society.

Media play an extraordinarily important role in society, by providing reliable and timely news and information in various forms and through assorted platforms. The media serve as watchdogs, holding centers of power to account and constantly monitoring government authorities and organizations, institutions and businesses. Media play a fundamental role in the democratic processes and provide ample opportunities and a safe environment to allow journalists to perform their duties independently.

The media recognize the importance of pluralism in society and respect the diversity of opinions, opposing all discrimination based on sex, race, nationality, language, religion, ideology, culture, class, conviction, or any other cause.

The media recognize and defend both its rights and duties versus the public, constantly preserving the balance between them.

## The Scope of the Code

The following regulations concerning conduct shall apply to all persons and organizations engaging in the gathering, editing, preparation and dissemination of journalistic information. The scope of the Code shall cover the individual and collective supply of information performed in the field of printed (text and photography) and electronic media.

The Code refers to individual and collective responsibilities in the supply of information performed in the field of printed (text and photography) and electronic media.

The principles of this Code apply equally to all media and journalistic platforms, offline and online, including journalism disseminated through social media and internet portals.

The Code of Ethics presumes and expects that all media organizations and journalists recognize and accept the voluntary principles set out in this Code. All those who engage in journalism are invited to acknowledge and accept the following principles as necessary to the well-being of journalism and freedom of expression in Albania.

Journalists who knowingly violate the principles of this code betray the trust of the public and may not expect the support and solidarity of their colleagues, media organizations or journalism trade unions. Controversies arising from alleged violations of the Code are dealt with through transparent systems of voluntary self-regulation developed by journalists and news media organizations that may operate at the level of the enterprise and across different platforms of the news media industry.

### 1. Accuracy and Fairness of Information

   Journalists have the right to seek information and the right of access to public information. They have the right to publish and to criticize.

   Journalists and news media shall at all times strive to publish information that is to the best of their knowledge truthful, balanced and verified.

   **Accuracy**
   
   A journalist must verify information prior to its publication in order to ensure that it is accurate, fact-based and trustworthy. All data and information must be subject to careful scrutiny: whether it is obtained from human sources or documents.

   Journalists should always indicate where information has not been confirmed.

   Media should not mislead the public. They should clearly indicate where manipulated texts, documents, images and sounds have been used.

   Media shall not publish any photos, image, audio, or visual arrangements that distort the ideas or facts of the source, with the exception of caricatures, cartoons or comic plots.

   **Unbiased Journalism**
   
   Journalists shall strive to provide unbiased and balanced reporting. Journalists shall refer to all available sources and interested parties that can provide useful and relevant information.
   In reporting on a controversy, journalists should be inclusive and seek to ensure that all parties concerned have an opportunity to state their position.
   Criticized parties shall have the right to respond to accusations, whenever possible in the same publication. Journalists shall make every effort to contact all sides and gather all relevant opinions. Mere contacts with both sides do not â€œreleaseâ€ a journalist from the obligation to present both sides of a story, and to report as truthfully as possible.
   The principle of â€œpresenting all sidesâ€ may not apply in publications representing personal opinions (editorials, opinion pieces) as well as reports of a factual nature, such as reporting on public meetings or events.

### 2. Distinguishing Fact from Opinion

   Media must distinguish clearly between opinion and comments and fact-based reporting. Columnist, caricaturists, and critics are allowed to present their opinions on individuals and events.

   News relates to information supported by facts and data, while an opinion piece contains and represents ideas, opinions and considerations of journalists, editors and publishers.

### 3.  Rectification and Reply

   Media shall be open to engage with their audience and to deal with legitimate comments and complaints.

   Media should publish a clear and appropriately prominent correction when it can be demonstrated that inaccurate or misleading information has been published. Media should provide an apology and appropriate remedy where it is necessary.

   A criticized party shall always have the right of response.

   If the reply is not fit for publication as such, changes to it should be discussed with the writer. If he or she cannot be contacted within a reasonable time, the reply may be published in amended form. However, its essential contents must not be changed.

### 4. Relations with Sources

   Journalists shall strive to gather information from all available sources in order to provide accurate, complete, and impartial information.

   Journalists shall be transparent in their work and use methods for gathering information that are ethical and lawful.

   A person being interviewed has the right to know in which medium and in what connection statements will be used.

   Journalists shall exercise care in the selection of sources and establish clear working relations with them to make sure that the information they receive is correct.

   Media shall exercise particular care in dealing with sources who are members of vulnerable groups, such as children and young people, victims of violence or minorities.

   Media shall not distort or misuse statements made in a specific context. In particular consideration should be shown towards people who cannot be expected to be aware of the effect that their statements may have.

   Journalists shall not divulge the name of a person when information is provided on a confidential basis, unless consent has been explicitly given by the person concerned.

   The right to the anonymity may be broken only if:

   a) There is suspicion that the source consciously has distorted truth or is seeking to manipulate media for personal gain;
  
  b) The reference to the name of the source is the only way to avoid serious and inevitable damage to others;
  
  c) The information in question relates to the planning of a serious criminal act or is of major concern for public welfare.

   If unjustly denied access to requested information, a journalist has the right to inform the general public about it.


### 5. Editorial independence

   Media shall avoid unacceptable conflicts of interest and shall not permit any undue influence arising from personal beliefs, political or financial incentives to affect the accurate and impartial reporting of their journalists and work of editorial departments.

   Journalists, publishers, and media owners must resist threats, provocations, or incentives to influence, distort or conceal information. They shall not use any information or data collected during their job for their own personal benefit.

   Editorial content should be clearly distinguished from marketing, advertisements, materials prepared by political parties or other institutions/organizations, or sponsored content. Sponsored content must clearly show the identity of the sponsor.

   Commercial and political advertising, as well as sponsored content â€“ including articles and supplements â€“ shall be labeled accordingly to ensure the media audience can distinguish them from editorial content.

### 6. Pre-publication Agreement

   Journalists who agree not to publish a piece of information or material for a given period of time must respect these arrangements. Such an agreement (embargo) should be considered null and void if the information is published by another party, or when the person who requested the embargo in any way violates terms and conditions of the agreement reached between parties.

   In the interests of fairness and accuracy journalists may show their news stories to interested parties prior to publication, but they shall not grant a veto on the right to publish and shall be free to decide for themselves on what suggestions they should take under consideration.

### 7. Liability after Publication

   The publisher and editor are liable and responsible for the publication of news articles as well as letters to the editor, comments and replies published on the media website including where the name of the author is omitted or signed under an alias.

   Media and editorial staff should agree to and publish clearly defined terms and conditions for the selection and publishing of comments from the public. Media shall monitor and review such comments and take steps to ensure the terms and conditions of publication are respected.

   Media have the right to add a â€œnoteâ€ on comments and replies, or even decide not to publish them at all, with the exception of cases when it has previously promised to publish such comments. The editorial staff reserves the right to edit or shorten letters to the editor, or comments, provided that the editing does not alter their meaning. If the media organization were to decide to publish a letter to the editor or comment, it should do so within a reasonable amount of time between the moment it was submitted and the time of publishing.

   Prior to publishing a comment, or a letter to the editor, where there is a suggestion that it contains serious accusations against a third party, the editorial staff, or the editor, shall investigate if there is any basis to these accusations. Also, the accused party must be afforded the opportunity to respond.

   It may not realistically be expected that all comments be read, edited, or rejected prior to publication. However, the editorial staff, or the editors, may delete or remove unacceptable comments from publication where it is abusive, hateful, or is found to contain malicious and unfounded allegations. Where there is a complaint that a comment includes serious accusations or insults directed at a third party, the editorial staff and the editors shall investigate whether there is any basis to such accusations, and, if so, the comment must be removed from publication.

### 8. Hate Speech

   Media must not publish materials that incites intense hatred or violence towards individuals based on race, religion, nationality, color, ethnic origin, membership, gender, sexual orientation, civil status, disability, illness or age.

   Any publication should refrain from specifying the origin, ethnicity, nationality, race, religion or sexual orientation of a group or an individual, unless it is deemed relevant and necessary to better understand facts and opinions presented in the publication.

### 9. Intrusion into private life

   Media and journalists shall respect the honor and reputation of individuals who become objects of their professional interest.

   Any incorrect or false information that intentionally or unintentionally may cause harm to the image and reputation of another person constitutes a breach of human dignity.

   A journalist must respect the right of an individual to privacy. Only the protection of the public interest can justify journalistic investigations which interfere with the private aspects of the lives of individuals. Journalists shall only make reference to personal or private aspects of peopleâ€™s lives when they are relevant.

   Journalists will use fair methods in the collection of information. They only make use of subterfuge, hidden cameras, microphones or other special equipment, or obscure their professional identity, in circumstances where:
   
   a) There is no other means to obtain the information concerned
   
   b) The information is of urgent and serious concern to the public
   
   Journalists shall indicate when such methods have been used in the story or provide disclosure when circumstances permit.

   â€œSuddenâ€ use of cameras in public or institutions should respect the desire and sensitivity of the present persons.

   Public figures are entitled to less privacy than other individuals. However, information on their private lives and information related to their family and friends should be disclosed only when it serves the public interest. Public officers are also justified in not disclosing their private life except for the cases when their private life may affect their public activity.

### 10. Conflict of Interest

Journalists, editors and editorial managers must not seek personal gain from information and evidence collected by their media organization. Media organizations shall ensure that there are internal arrangements for the declaration of potential conflicts of interest at all levels of ownership, management and editorial activity. 

Media owners, editors and journalists so not have the right to use the professional information they collect during the course of their work for any other purpose than to inform the public.

Journalists should avoid covering stories where they have a direct personal interest.

The taking of bribes or inducement of any kind in order to alter or affect their reporting, or failure to publish a piece of information, shall be considered by journalists as a serious breach of professional ethics.

### 11. Incitement to Crime and Violence

The propagation of war, violence, outrage or malicious information intended to injure the feelings of the whole public or parts of it is unethical and unacceptable in any media product.
Violence and brutality shall not be sensationalized. Reporting must take due account of the need to protect minors and vulnerable groups in society
Journalists and media shall not glorify crimes and terrorism or any other cruel and inhuman activities.
15
Media shall report with care and sensitivity issues of crime and violence and shall treat with caution the identification of victims and witnesses of crime. In cases involving sexual assault, victims shall not be identified unless they willingly give consent.

### 12. Reporting of accidents and disasters

Journalists shall respect the dignity of victims and their families and shall allow people to grieve in private and will report such matters with sympathy and constraint. 

In the case of accidents and disasters, media shall bear in mind that rescue operations for victims and persons in jeopardy take precedence over the publicâ€™s right to be informed.

Media shall not sensationalize reporting with explicit pictures of catastrophes, accidents or violence that might insult the feelings of the relatives as well as sensibilities of the public.

Victims or missing persons shall not be identified if next-to-kin have not been informed.

### 13. Reporting of Court Proceedings and Presumption of Innocence

Reporting from the courthouse (including the publishing and broadcasting of images), should be accurate, fair, not prejudicial, and fully respectful of the right to a fair trial.

Journalists will always respect presumption of innocence and will refrain from describing someone as a criminal prior to final court conviction.

When reporting on juvenile crime and juvenile court proceedings, media shall exercise restraint out of consideration for the future of the young people concerned.

This recommendation also applies to reports on victims of migration and illegal human trafficking.

Media should carefully consider whether to publish facts about family scandals and historical crimes committed by individuals who have served their sentence.

### 14. Protection of Children and People with Limited Abilities

A journalist shall respect all principles confirmed in International Conventions on the Rights of the Child and Albanian legislation on child protection and persons with limited abilities.

A journalist protects the rights and dignity of children and people with limited abilities, including their right to be heard.

As a general rule, there is no objection to the publication of photographs and names of missing young persons but theses shall only be published with the agreement of the relevant authorities or responsible adults.

Journalists shall not take advantage of childrenâ€™s innocence and trust and will publish information or images about the private life of a child only if there is an overriding public interest.

Journalists shall not normally interview children under 18 on personal issues in the absence of parents or responsible persons.

### 15. Intellectual Property Rights

The journalist will respect authorsâ€™ rights, and will encourage colleagues to respect the copyright of others in any creative area. They shall attribute information they use to its original source. Plagiarism is inadmissible.

Media and journalists abuse copyright, if they:
    
a) Publish or attempt to publish the work of others as if it was their own (plagiarism);
    
b) They quote from the work of others in such a way that they distort the original meaning, publishing distortion as reality, or wilfully indicate another person, as author;
    
c) publish as their own a topic considered as original - researched and published by someone else - without reference to the origin;
    
d) hand over their work for publishing to two or more publishers at the same time - without indicating this fact - or hand over an already published work and do not draw the attention of the second publisher to this fact;
    
e) publish a work without the consent of the author, or alter the material without permission, or put it into an unworthy surrounding (composition of pictures), or a surrounding different from the previous agreement, without the consent of the author.
    
    

### 16. Relations between Journalists

In their business relations media and journalists should recognize the importance of fair competition and professional solidarity and maintain appropriate balance between the two.

The journalist should not impede the colleagues to gather information, to mislead them intentionally, or report on them to the authorities.

Neither individual journalists, nor separate editorial staffs shall use mass media for the prosecution of personal and professional rivalries and disputes.

Journalists shall respect the confidentiality of their workplace where this information is not related to violations of laws and the Code of Ethics.

Media shall respect the right of individual journalists to act according to their conscience and their right to refuse assignments, or not to be identified as the author of publications, which they believe are in contravention of the letter and spirit of this Code.

### 17. Public Interest

The terms of this Code provide essential and necessary guidelines for the exercise of ethical journalism and may only be disregarded in exceptional circumstances in order to serve the public interest.

Public interest is defined in these circumstances as follows:
    
- Matters of urgent and immediate concern to public health and safety;
    
- The finding, prevention, and disclosure of serious crimes, scandals, and abuse of power;
    
- Actions to protect the public from the danger of being seriously misled.
    
    
Legitimate public interest does not justify sensationalism and in the spirit of this Code it should never be confused with information that is â€˜â€interesting to the publicâ€.
    
### 18. Albanian Language

Journalists should respect and carefully observe the rules of the Albanian language. The use of foreign words should be avoided except for clarity of meaning or when appropriate in direct reporting."
"02_AM","Armenia","AM","Code of ethics of armenian media and journalists"," # Code of ethics of armenian media and journalists


*We, representatives of mass communication media,*

- Emphasizing the right of the public to be informed and the duty of the media to inform,

- Recognizing the necessity of following the rules of professional and ethical standards and the need for consolidation around them, at the same time acknowledging journalistsâ€™ right of moral choice,

- Pointing out the necessity of safeguarding editorial independence and not restraining journalists by any private interests, contradicting public interests,

- Recognizing that the media and journalists are accountable to their audience and to each other,

- Stating that a single set of rules cannot be defined for all cases, but common standards of professional journalism can be respected,

*have adopted the following principles and obligations arising from them.*

### 1. Accuracy and Impartiality

  This principle entails the following obligations for editors and journalists:

  1. Prior to publishing, to check the accuracy of information from any source, not to conceal or distort facts, and not to publish obviously false information;
  2. Clearly notify the audience about the cases when the editorial office received information of public significance, but has been unable to verify the facts after employing all the reasonable measures;
  3. To clearly distinguish facts and information from opinion, comment and analysis;
  4. To rely on accurate facts and trustworthy information when making analysis and comments;
  5. To ensure that the reports, photo, video and audio materials correspond to the reality, the headlines derive from the content of the material, citations are not used outside of context, and correspondence of the personal data of ordinary citizens with public figures is not abused;
  6. Not to distort the content of photo or video materials, to mention about technical tricks in photos and video materials if any.
    

### 2. Integrity in Relations with Sources of Information

This principle entails the following obligations for editors and journalists:

1. To the extent possible, specify the sources of information;
2. To the extent possible, avoid using confidential sources of information and, before promising to keep the source of information confidential, always justify that decision. However, if the provision of information is conditioned upon keeping the source confidential, never to disclose the source;
3. To avoid the use of covert and secret methods of obtaining information, except when traditional open methods do not ensure receipt of information of public interest. The need for such methods must be explained and justified in the actual publication;
4. To respect the copyright, to preclude plagiarism, and to mention the sources whenever quoting or reprinting;
5. Not to abuse the credulity of persons who do not have experience of interaction with media and journalists;
6. To respect rights of interviewee in regard to the text of the interview, as its coauthor.
    

### 3. Editorial Independence

This principle entails the following obligations for editors and journalists:

1. To draw a clear line between journalistic materials and advertisement: each publication which has been paid for must have a relevant notice about it; appropriate labelling should be given to materials from PR services and organizations;
2. To give no advantage to advertisers and sponsors in editorial pieces;
3. To resist pressure by advertisers, sponsors, and media owners aimed at influencing the coverage of events. Whenever this sort of pressure threatens to become a public challenge, inform the public about the situation, calling for the support of journalists and the community;
4. To refuse payments, gifts, awards, compensations, free holidays and other benefits promised in return to publishing or not publishing information, contradicting professional independence, compromising journalistâ€™s reputation and resulting in a loss of trust towards the media;
5. Set rules of conduct in social networks for the editorial staff and follow the compliance with thereof.
    

### 4. Respect for Privacy and Other Human Rights

This principle entails the following obligations for editors and journalists:

1. To respect and protect the human right to private life, including respect to personal and family life, residence, property, health condition, correspondence. Only public interest or protection thereof can justify publication of information regarding the privacy of high rank officials, public figures, and individuals aspiring to power or public attention;
2. In case of a conflict between the freedom of expression and other fundamental human rights, the media independently decides what to give preference to, and bears responsibility for its decision;
3. To be especially tactful when the sources of information or the heroes of publications are children or minors. Be careful when disclosing the identity of juvenile detainees, defendants, convicts and victims of sexual crimes;
4. When preparing materials concerning/involving children follow the Principles and Guidelines for Ethical Reporting on Children, developed by UNICEF media group;
5. Obtain permission from the child and his/her guardian for all interviews, videotaping and for documentary photographs. When possible and appropriate, this permission should be in writing. Permission must be obtained in circumstances that ensure that the child and guardian are not coerced in any way and that they understand that they are part of a story that might be disseminated locally and globally. During the interview do not harm to any child, do not reactivate a child's pain and grief from traumatic events. Do not make him/her saying or doing things merely aimed at getting a strong image or impressive reportage;
6. To be tactful when collecting information, broadcasting video or audio materials, publishing interviews or photos of people with severe health issues, persons who committed/attempted suicide or suffered tragedy and sorrow;
7. To respect the presumption of innocence: when publishing the names of crime suspects before the trial, to consider the public need for doing so - strike a balance between the presumption of innocence, the right of crime suspects to fair trial, and the right of the public to be informed.
    

### 5. Respect for Representatives of Different Groups and for Universal Values

This principle entails the following obligations for editors and journalists:

1. To avoid prejudice against people on the ground of their race, sex, age, religion, nationality, geographic origin, sexual orientation, physical handicap, external look or social status;
2. Not to promote in any way ethnic or religious hatred and intolerance, or any discrimination on political, social, sexual, and language grounds, exclude hate speech;
3. Not to advocate pornography, violence, war, in any form; not to deny genocide and crimes against humanity;
4. To be careful when disseminating information about terrorist acts, to rule out content and reports that may instill sympathy towards terrorists, to treat witnesses of events as sources of information delicately, and avoid disclosing the identity of relatives or friends of hostages and possible victims without their consent.
    

### 6. Integrity in Relations with the Public

This principle entails the following obligations for editors and journalists:

1. To encourage free exchange of opinions, regardless of any differences between those opinions and the editorial views;

2. To be ready to meet with persons or representatives of organizations who feel offended or defamed by a certain publication, and provide an opportunity of response for all those against who criticism and accusations have been made in the publications;

3. To admit mistakes and to be ready to correct them;

4. To encourage the public to express critical opinions about media and to be ready for a public discourse on matters of journalistic ethics.

     

### 7. Integrity in Covering Elections and Referendums

This principle entails the following obligations for editors and journalists:

1. To be tolerant in respect of all parties and candidates;
2. Not to insult the candidate personally and not to ridicule a candidateâ€™s views and opinions;
3. Not to publish materials containing defamation, blackmail, and threats aimed at candidates;
4. To give all candidates equal possibilities for presenting their platforms and views in the media, and to apply single tariffs when allocating paid space or air time in media;
5. Not to publish materials containing hidden political advertising, and to separate materials presented for (free or paid) publication by groups supporting any party or candidate or produced at their request from other materials, or to make mention about it;
6. Broadcast media must refrain from supporting any specific candidate or party, and the print and online media must provide clear advance announcement of their intent to do so.

*We, the representatives of mass communication media that have signed this Code of Ethics, hereby acknowledge the authority of the Media Ethics Observatory elected by us to examine the conformity of our acts and publications to the provisions of this Code, and state our willingness to publish decisions of the Media Ethics Observatory in our media.*

*Adopted on March 10, 2007 at the meeting of heads of media and journalistic associations*

*The current edition of the Code was adopted on May 16, 2015 at the meeting of media representatives who signed the Code*
"
"03_AT","Austria","AT","Guiding Principles for Journalistic Activities (Code of Ethics for the Austrian Press)"," # Guiding Principles for Journalistic Activities (Code of Ethics for the Austrian Press)


## Preamble

Journalism requires freedom and responsibility. Newspaper publishers and editors, broadcasting and  television managers, as well as journalists have particular responsibility for maintaining the freedom of the mass media, which is a vitally important element of democratic life.

This is a special challenge for the heads of editorial offices, who have to ensure the consistent respect of the principles that should guide the work of journalists under their authority.

The Austrian Press Council (Ã–sterreichischer Presserat) is the platform for all those who support the idea that the use of the freedom of the press should be guided by the principles of truthfulness and accuracy, and who are willing to submit their products, in concrete cases, to the scrutiny of the Press Council. Voluntary self-regulation on a permanent basis is an appropriate means to ensure that the press meets its responsibility.

For these reasons, the Austrian Press Council has laid down the following catalogue of principles (Code of Ethics for the Austrian Press) for all those who are engaged on behalf of newspaper in the gathering, dissemination and commenting of the news. This catalogue can be supplemented or interpreted by guidelines as and when needed. The principles stated below shall hold for all those parts of a publication, which are under the editorsâ€™ responsibility.

Newspaper and magazines that commit themselves to compliance with the principles of this Code of Ethics undertake to publish every and any finding of the Austrian Press Council directed against said newspaper or magazine and the publication of which the Council has required (signet in their imprint).



### 1. Freedom

1. The Freedom of news reporting and commenting, be it in words or in pictures, forms an integral part of the freedom of press. There shall be no restrictions regarding the collection and dissemination of news and comment.
2. For the Press Council and its activities, the limits to this freedom are set by the journalistsâ€™ voluntary self-regulation based on the provision of this Code of Ethics.
    
### 2. Accuracy

1. It is the prime duty of journalists to aim at a maximum of conscientiousness and accuracy in their investigations, the presentation of news items, and comments in them.
2. Quotes between quotation marks shall reflect the tenor as detailed as possible, and no quotation marks shall be used for passages, which merely render the generic sense of a statement. Quoting from anonymous sources should be avoided unless anonymity is required in the interest of the safety of the person quoted or in order to protect such person from some other serious disadvantage.
3. No charges shall be made against any person(s) or institution(s) unless proof can be furnished that an attempt has been made to obtain a statement on said charges form the person(s) or institution(s) so charged. If the charge in question has been made in public, this circumstance shall be clearly indicated, and the source of said charge shall be named.
4. As soon as an editorial office is advised of the fact that it has published a wrong statement, professional ethics and common decency demand that a correction of a said statement be published voluntarily.
5. Any justified statement on the part of a reader or readers calling for correction of a report shall be published as soon as possible and as extensive as required.
6. Adequate coverage shall be given to any important court decision or finding of another public authority regarding a subject on which the newspaper or magazine has reported or to any essential new findings concerning said subject that have emerged in some other way.
    
### 3. Distinctive Character of Reports

1. Readers shall be left in no doubts as to whether a newspaper item is a factual report, the reproduction of the views of a third party or third parties, or comment.
2. In case of serious doubts about the correctness of a quotation, the validity of third-party statements shall be checked before said statements are reproduced.
3. Photomontages and picture material that has been modified shall be clearly marked as such if a cursory reading might otherwise lead the reader to believe them to be documentary in nature.
    
### 4. Influence

1. Form and content of contributions to the editorial sections of a newspaper or magazine shall on no account be influenced by outside interests.
2. Such improper influence shall be deemed to comprise not only interventions or pressure that is brought to bear on a journalist but also the granting of personal advantages relative to matters that lie outside the immediate realm of the journalistâ€™s professional work.
3. Any person who accepts, in the context of his/her work as a journalist, presents or any other personal advantages likely to influence the journalistic product shall be deemed to have breached this Code of Ethics.
4. The publishersâ€™ economic interests shall not affect editorial content in any way that might result in wrong information or the suppression of important information.
5. If a journalist publishes a report on a journey, which has been paid for by a third party, this fact shall be mentioned in the report in a suitable way.
    
### 5. Protection of Personality

1. Every person is entitled to the protection and respect of his/her dignity and personality.
2. Libellous or disparaging statements about a person or persons violate the Code of Ethics.
3. Persons whose life is in jeopardy shall not be identified in media reports if such identification is likely to expose them to even greater danger.
4. Particular attention must be paid to the anonymity interests of victims of accidents or crimes. The identity of a victim may be disclosed if there is an official reason to do so, if the victim is a well-known person, or if the victim or close relatives have consented to the disclosure. 
    
### 6. Privacy

1. The privacy of all individuals shall in principle be protected.
2. In the case of children, protection of the individualâ€™s privacy shall take precedence over the news value.
3. Before pictures and reports about juveniles are published, special critical consideration shall be given to the question of whether such publication is in the public interest.
4. Reports about criminal offences or misconduct on the part of juveniles shall not render more difficult or completely prevent their eventual re-integration into society. In such cases, the individual's full name shall not be published.
5. Journalists shall exercise particular caution in interviewing and photographing children and in reporting about matters which might have a detrimental influence on their future.
    
### 7. Protection from Sweeping Statements and Discrimination

1. Sweeping statements which disparage or incite suspicion against a person or group of persons shall be strictly avoided.
2. Any discrimination for reasons of age, disability, sex, race, religion, nationality, sexuality, ideology or for any other reason shall be inadmissible.
3. Any disparagement or derision of religious teachings or recognized churches and religious communities liable to give justified offence shall be inadmissible.
    
### 8. Procurement of Material

1. No unfair or improper methods shall be used in obtaining oral or procuring written evidence.
2. Unfair or improper methods shall include misrepresentation, pressure, intimidation, exploitation of emotional or stressful situations and, as a rule, the use of wiretapping or bugging equipment.
3. In some cases undercover investigations and the associated actions deemed necessary are permitted, provided that the method of the recherchÃ© is appropriate and the gathered information is in the public interest.
4. The use of private photographs for publication shall be conditional upon the previous consent of the person(s) affected or, in the case of minors, their parents or guardians, unless publication of the picture is justified as being in the public interest.
    
### 9. Special Editorial Areas

1. Travelogues and reports of a touristic nature shall include, in suitable form, information about the social and political background and conditions prevailing in the country or region in question (such as serious human rights violations).
2. Environmental, transport and energy policy matters shall, amongst other things, be given adequate consideration in the paperâ€™s motor section.
3. Reports about tourist areas, catering establishments and motor cars as well as all evaluative reports on consumer goods and services shall meet generally accepted criteria and be written by persons with professional journalistic qualifications.
    
### 10. Public Interest

1. In concrete cases, and in particular in the case of public figures, it may be necessary to weigh carefully the justified interest of that individual in not having a report or a photograph published against the public interest in having said material published.
2. The term â€œpublic interestâ€ within the meaning of this Code of Ethics for the Austrian Press shall in particular refer to situations in which publications of the facts in question might help to bring a criminal to justice, or might be desirable in the interest of protecting public security or health or preventing the general public from being misled.
3. The publication of photographs of (a) person(s) which have been taken without respect to their privacy (e.g. in case of waylaying) is only permitted if a great public interest is clearly perceptible and not only voyeurism is prevailing.
       
### 11. Interests of Media Employees

The press is just able to fulfil the special responsibility towards the public, if private as well as commercial interests of media employees have no bearing on the editorial content. Media employees use information, which is not publicly accessible and which they ascertain in the course of their professional career. This information shall just be used for journalistic purposes and not for personal advantage or the advantage of a third party.
### 12. Suicide Coverage

Media coverage on suicides and self-inflicted injury as well as on suicide attempts and attempts of self-inflicted injury has to be treated with much reserve. Especially because of the danger of imitation, responsible-minded journalists weigh up if the information is in the public interest and abstain from exaggerated reporting."
"04_AU","Australia","AU","Statement of General Principles"," # Statement of General Principles

## Introduction

This Statement of General Principles forms part of the Councilâ€™s Standards of Practice which are
binding on all print and online publishers who are members of the Council. The Standards are
applied by it when considering and adjudicating on complaints about particular instances of their
practice.

The Standards of Practice comprise:

-  the Statement of General Principles;
- the Statement of Privacy Principles;
- a series of Specific Standards of Practice, which apply the two Statements of
  Principles to particular aspects of media practice.

The Councilâ€™s Advisory Guidelines may also be taken into account but are not binding Standards.

The Standards of Practice apply to text, headlines, photographs, graphics, captions, audio, video and all other forms of published material, but not to advertising.

Publishers and editors are responsible for taking reasonable steps to comply with the Standards in their print and online publications. This applies to actions by their employees and external contributors, including those who are not journalists.

Publisher members are also obliged under the Councilâ€™s Constitution to cooperate with its handling of complaints. This includes publishing all Council adjudications relating to their particular publications.

### Preamble to the General Principles

In a democratic society, all people have the right to freedom of expression and to be informed. These rights cannot be secured unless the press is free to publish facts and opinions without fear or favour.

Freedom of the press, however, carries responsibilities to the public. Liberty does not mean licence, and due regard must be given to other important freedoms, rights and values which are in the public interest.

Accordingly, the Press Council has laid down the following General Principles to which all publisher members are committed by the Councilâ€™s Constitution.

## The General Principles

Publications are free to publish as they wish by reporting facts and expressing opinions, provided they take reasonable steps to comply with the following Principles and the Councilâ€™s other Standards of Practice.

### Accuracy and clarity

1. Ensure that factual material in news reports and elsewhere is accurate and not
misleading, and is distinguishable from other material such as opinion.
2. Provide a correction or other adequate remedial action if published material is
significantly inaccurate or misleading.

### Fairness and balance

3. Ensure that factual material is presented with reasonable fairness and balance,
and that writersâ€™ expressions of opinion are not based on significantly inaccurate
factual material or omission of key facts.
4. Ensure that where material refers adversely to a person, a fair opportunity is given
for subsequent publication of a reply if that is reasonably necessary to address a
possible breach of General Principle 3.

### Privacy and avoidance of harm

5. Avoid intruding on a personâ€™s reasonable expectations of privacy, unless doing so
is sufficiently in the public interest.
6. Avoid causing or contributing materially to substantial offence, distress or
prejudice, or a substantial risk to health or safety, unless doing so is sufficiently in
the public interest.

### Integrity and transparency

7. Avoid publishing material which has been gathered by deceptive or unfair means,
unless doing so is sufficiently in the public interest.
8. Ensure that conflicts of interests are avoided or adequately disclosed, and that
they do not influence published material.

### Explanatory notes

â€œPersonâ€ includes a group or category of people (provided it is reasonably specific and limited in number)
and a corporation or other legal entity.
â€œSufficiently in the public interestâ€: The necessary level of justification in the public interest is
proportionate to the gravity of the potential breach of the Principles. Relevant factors to consider may
include, for example, the importance in the public interest of:
(a) ensuring everyone has genuine freedom of expression and access to reliable information;
(b) protecting and enhancing independent and vigorous media; public safety and health; due
administration of justice and government, personal privacy, and national security;
(c) exposing or preventing crime, dishonesty and serious misconduct or incompetence (especially by
public figures)."
