"ID";"Level";"Parent";"Sub";"Name";"Infocard"
"1";"Node1_3_1";"Node1_3";"n";"Anonymization";
"2";"Node1_3_2";"Node1_3";"n";"Decency";
"3";"Node1_3_3";"Node1_3";"n";"Definition of 'public person'";
"4";"Node1_3_4";"Node1_3";"n";"Freedom of expression versus other human rights";
"5";"Node1_3_5";"Node1_3";"n";"Making accusations";
"6";"Node1_3_6";"Node1_3";"n";"People who passed away";
"7";"Node1_3_7";"Node1_3";"n";"Personal information";
"8";"Node1_3_8";"Node1_3";"n";"Pictures in non-public places";
"9";"Node1_3_9";"Node1_3";"n";"Pictures in public places";
"10";"Node1_3_10";"Node1_3";"n";"Principle of no harm";
"11";"Node1_3_11";"Node1_3";"n";"Privacy (and the public interest)";
"12";"Node1_3_12";"Node1_3";"n";"Protecting people's personal information";
"13";"Node1_3_13";"Node1_3";"n";"Protection of the good name of a person";
"14";"Node1_3_14";"Node1_3";"n";"Sensationalism";
"15";"Node1_5_1";"Node1_5";"n";"Collecting information in hospitals";
"16";"Node1_5_2";"Node1_5";"n";"Deceit by journalist";
"17";"Node1_5_3";"Node1_5";"n";"Gathering information in public space";
"18";"Node1_5_4";"Node1_5";"n";"Harassment of people by journalists";
"19";"Node1_5_5";"Node1_5";"n";"Making recordings";
"20";"Node1_5_6";"Node1_5";"n";"Payment of sources";
"21";"Node1_5_7";"Node1_5";"n";"Stating journalistic intention";
"22";"Node1_7_1";"Node1_7";"n";"Embargoes";
"23";"Node1_7_2";"Node1_7";"n";"Exclusivity contracts";
"24";"Node1_7_3";"Node1_7";"n";"Pre-publication review";
"25";"Node1_7_4";"Node1_7";"n";"Secrecy agreements";
"26";"Node1_7_5";"Node1_7";"n";"Addictions and substance abuse";
"27";"Node1_7_6";"Node1_7";"n";"Children";
"28";"Node1_7_7";"Node1_7";"n";"Health reporting";
"29";"Node1_17_1";"Node1_17";"n";"Juvenile criminals";
"30";"Node1_17_2";"Node1_17";"n";"Offensive content";
"31";"Node1_17_3";"Node1_17";"n";"People unfamiliar with the press";
"32";"Node1_17_4";"Node1_17";"n";"People with intellectual disabilities";
"33";"Node1_17_5";"Node1_17";"n";"People with special needs";
"34";"Node1_17_6";"Node1_17";"n";"Reporting on crime";
"35";"Node1_17_7";"Node1_17";"n";"Family drama";
"36";"Node1_17_8";"Node1_17";"n";"Memoirs of criminals";
"37";"Node1_17_9";"Node1_17";"n";"Police and magistrates";
"38";"Node1_17_10";"Node1_17";"n";"Presumption of innocence";
"39";"Node1_17_11";"Node1_17";"n";"Reporting on Court and legal proceedings";
"40";"Node1_17_12";"Node1_17";"n";"Suspects and convicted people";
"41";"Node1_17_13";"Node1_17";"n";"Victims of crimes";
"42";"Node1_17_14";"Node1_17";"n";"Reporting on politics";
"43";"Node1_17_15";"Node1_17";"n";"Reporting on suicide";
"44";"Node1_17_16";"Node1_17";"n";"Supernatural or paranormal phenomena";
"45";"Node1_17_17";"Node1_17";"n";"Victims of accidents or disasters";
"46";"Node1_17_18";"Node1_17";"n";"Violence and war";
"47";"Node3_1_1";"Node3_1";"n";"Being accountable";
"48";"Node3_1_2";"Node3_1";"n";"Editors have the ultimate responsibility";
"49";"Node3_1_3";"Node3_1";"n";"Encourage debate around media ethics";
"50";"Node3_1_4";"Node3_1";"n";"Journalist has personal responsibility for information";
"51";"Node3_1_5";"Node3_1";"n";"Liability after publication";
"52";"Node3_1_6";"Node3_1";"n";"Media should have an own internal Code of Ethics";
"53";"Node3_1_7";"Node3_1";"n";"News agency (news agencies)";
"54";"Node3_1_8";"Node3_1";"n";"Responsible editor";
"55";"Node3_1_9";"Node3_1";"n";"Workings and procedures of the Media Council";
"56";"Node3_16_1";"Node3_16";"n";"Censorship";
"57";"Node3_16_2";"Node3_16";"n";"Encouraging and supporting citizen journalism";
"58";"Node3_16_3";"Node3_16";"n";"Free and independent journalism";
"59";"Node3_16_4";"Node3_16";"n";"Freedom of information";
"60";"Node3_16_5";"Node3_16";"n";"Freedom of press";
"61";"Node3_16_6";"Node3_16";"n";"Freedom of speech";
"62";"Node3_16_7";"Node3_16";"n";"Promote pluralism";
"63";"Node3_16_8";"Node3_16";"n";"Providing information";
"64";"Node3_17_1";"Node3_17";"n";"Defending and promoting democracy";
"65";"Node3_17_2";"Node3_18";"n";"Gender equality";
"66";"Node3_17_3";"Node3_19";"n";"Promoting justice";
"67";"Node3_17_4";"Node3_20";"n";"Protect right of individuals";
"68";"Node3_17_5";"Node3_20";"n";"Protection of human rights";
"69";"Node3_17_6";"Node3_20";"n";"Reject manifestations of state authoritarianism";
"70";"Node3_17_7";"Node3_20";"n";"Stand up for human values";
"71";"Node3_20_1";"Node3_20";"n";"Being loyal to supervisors";
"72";"Node3_20_2";"Node3_20";"n";"Call out unethical behaviour of colleagues";
"73";"Node3_20_3";"Node3_20";"n";"Collecting information in ethical and legal manner";
"74";"Node3_20_4";"Node3_20";"n";"Dignity of journalism as a profession";
"75";"Node3_20_5";"Node3_20";"n";"Don't do harm to profession or media";
"76";"Node3_20_6";"Node3_20";"n";"Not support environmental damage";
"77";"Node3_20_7";"Node3_20";"n";"Not using journalism to settle private issues or vendettas";
"78";"Node3_20_8";"Node3_20";"n";"Respect institutions";
"79";"Node3_20_9";"Node3_20";"n";"Respect the ethical standards";
